# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABHD16B	ABHD16B	NM_080622.4	protein_coding	0	0	1	10	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	8
ACOT8	ACOT8	NM_005469.4	protein_coding	0	1	0	37	0	0	0	0	0	0	0	8	0	17	0	0	0	0	0	1	0	0	13
ACOT8	ACOT8	XM_005260239.4	protein_coding	0	1	0	37	0	0	0	0	0	0	0	8	0	17	0	0	0	0	0	1	0	0	13
ACOT8	ACOT8	XM_047439809.1	protein_coding	0	0	0	37	0	0	0	0	0	0	0	9	0	15	0	0	0	0	0	0	0	0	13
ACOT8	ACOT8	XM_047439810.1	protein_coding	0	1	0	26	0	0	0	0	0	0	0	8	0	10	0	0	0	0	0	1	0	0	9
ACOT8	ACOT8	XM_047439811.1	protein_coding	0	0	0	37	0	0	0	0	0	0	0	9	0	15	0	0	0	0	0	0	0	0	13
ACSS1	ACSS1	NM_001252675.2	protein_coding	0	1	0	35	1	0	0	0	0	0	0	12	0	22	0	0	0	0	0	0	0	1	0
ACSS1	ACSS1	NM_001252676.2	protein_coding	0	0	0	19	1	0	0	0	0	0	0	12	0	3	0	0	0	0	0	0	0	0	3
ACSS1	ACSS1	NM_001252677.2	protein_coding	0	1	0	35	1	0	0	0	0	0	0	12	0	22	0	0	0	0	0	0	0	1	0
ACSS1	ACSS1	NM_032501.4	protein_coding	0	1	0	35	1	0	0	0	0	0	0	12	0	22	0	0	0	0	0	0	0	1	0
ACSS1	ACSS1	XM_006723659.2	protein_coding	0	1	0	35	1	0	0	0	0	0	0	12	0	22	0	0	0	0	0	0	0	1	0
ACSS1	ACSS1	XM_047440556.1	protein_coding	0	1	0	30	0	0	0	0	0	0	0	8	0	22	0	0	0	0	0	0	0	1	0
ACSS1	ACSS1	XM_047440557.1	protein_coding	0	0	0	17	1	0	0	0	0	0	0	12	0	3	0	0	0	0	0	0	0	0	1
ACSS2	ACSS2	NM_001076552.3	protein_coding	0	1	0	92	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	2
ACSS2	ACSS2	NM_001242393.2	protein_coding	0	0	0	95	0	0	1	0	0	0	0	5	0	85	0	0	0	0	0	0	0	0	4
ACSS2	ACSS2	NM_018677.4	protein_coding	0	1	0	92	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	2
ACSS2	ACSS2	XM_005260455.3	protein_coding	0	1	0	92	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	2
ACSS2	ACSS2	XM_005260456.3	protein_coding	0	1	0	92	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	2
ACSS2	ACSS2	XM_011528905.2	protein_coding	0	1	0	92	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	2
ACSS2	ACSS2	XM_011528906.2	protein_coding	0	1	0	92	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	2
ACSS2	ACSS2	XM_011528907.2	protein_coding	0	1	0	92	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	2
ACSS2	ACSS2	XM_011528908.2	protein_coding	0	1	0	92	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	2
ACSS2	ACSS2	XM_011528909.3	protein_coding	0	1	0	94	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	4
ACSS2	ACSS2	XM_011528911.2	protein_coding	0	1	0	94	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	4
ACSS2	ACSS2	XM_047440293.1	protein_coding	0	1	0	94	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	4
ACSS2	ACSS2	XM_047440294.1	protein_coding	0	1	0	94	0	0	0	0	0	0	0	5	0	85	0	0	0	0	0	0	0	1	4
ACTL10	ACTL10	NM_001024675.2	protein_coding	0	1	0	6	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
ACTR5	ACTR5	NM_024855.4	protein_coding	0	2	1	93	0	0	0	0	0	0	0	25	0	52	1	0	0	0	0	0	0	2	16
ADA	ADA	NM_000022.4	protein_coding	0	1	0	56	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	1	0	1	11
ADA	ADA	NM_001322050.2	protein_coding	0	1	0	57	0	0	1	0	0	0	0	0	0	45	0	0	0	0	0	1	0	0	11
ADA	ADA	NM_001322051.2	protein_coding	0	1	0	56	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	1	0	1	11
ADA	ADA	NR_136160.2		0	1	0	56	0	0	0	0	0	0	0	0	0	45	0	1	0	0	0	1	0	0	11
ADAM33	ADAM33	NM_001282447.3	protein_coding	0	0	0	41	2	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	NM_025220.5	protein_coding	0	0	0	41	2	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	NM_153202.4	protein_coding	0	0	0	41	2	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_005260843.2	protein_coding	0	0	0	41	2	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_006723640.2	protein_coding	0	0	0	41	2	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_006723644.3	protein_coding	0	0	0	35	0	0	0	0	0	0	0	13	0	10	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_011529366.2	protein_coding	0	0	0	41	2	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_011529367.2	protein_coding	0	0	0	41	2	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_011529370.2	protein_coding	0	0	0	36	0	0	0	0	0	0	0	14	0	10	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_011529371.3	protein_coding	0	0	0	35	0	0	0	0	0	0	0	13	0	10	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_017028080.3	protein_coding	0	0	0	35	0	0	0	0	0	0	0	13	0	10	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_017028081.3	protein_coding	0	0	0	35	0	0	0	0	0	0	0	13	0	10	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_017028082.2	protein_coding	0	0	1	33	1	0	0	0	0	0	0	12	0	8	1	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_017028083.2	protein_coding	0	0	0	34	2	0	0	0	0	0	0	12	0	8	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_047440514.1	protein_coding	0	0	0	41	2	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_047440515.1	protein_coding	0	0	0	41	2	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_047440516.1	protein_coding	0	0	0	41	2	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XM_047440517.1	protein_coding	0	0	0	36	0	0	0	0	0	0	0	14	0	10	0	0	0	0	0	0	0	0	12
ADAM33	ADAM33	XR_937151.2		0	0	0	41	0	0	0	0	0	0	0	8	0	19	0	2	0	0	0	0	0	0	12
ADAM33	ADAM33	XR_937152.2		0	0	0	41	0	0	0	0	0	0	0	8	0	19	0	2	0	0	0	0	0	0	12
ADIG	ADIG	NM_001393816.1	protein_coding	0	0	0	12	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	5
ADIG	ADIG	NM_001393817.1	protein_coding	0	0	0	12	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	5
ADIG	ADIG	NR_172017.1		0	0	0	12	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	5
ADNP	ADNP	NM_001282531.3	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ADNP	ADNP	NM_001282532.2	protein_coding	0	0	0	4	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADNP	ADNP	NM_001347511.2	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ADNP	ADNP	NM_015339.5	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ADNP	ADNP	NM_181442.4	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ADNP	ADNP	XM_011528747.3	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1
ADNP	ADNP	XM_011528748.3	protein_coding	0	0	0	6	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
ADNP	ADNP	XM_047440074.1	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ADNP	ADNP	XM_047440075.1	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1
ADNP	ADNP	XM_047440076.1	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1
ADNP	ADNP	XM_047440077.1	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ADNP	ADNP	XM_047440078.1	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ADNP-AS1	ADNP-AS1	NR_110007.1		0	0	0	4	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
ADNP-AS1	ADNP-AS1	NR_110008.1		0	0	0	4	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
ADNP-AS1	ADNP-AS1	NR_110009.1		0	0	0	4	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
ADRA1D	ADRA1D	NM_000678.4	protein_coding	0	0	1	82	2	0	1	0	0	0	0	9	0	67	1	0	0	0	0	0	0	0	3
ADRM1	ADRM1	NM_001281437.1	protein_coding	0	3	0	22	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	1	0	2	6
ADRM1	ADRM1	NM_001281438.1	protein_coding	0	3	0	22	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	1	0	2	6
ADRM1	ADRM1	NM_007002.4	protein_coding	0	3	0	22	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	1	0	2	6
ADRM1	ADRM1	NM_175573.2	protein_coding	0	3	0	22	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	1	0	2	6
ADRM1	ADRM1	XM_011528503.2	protein_coding	0	3	0	22	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	1	0	2	6
ADRM1	ADRM1	XM_047439841.1	protein_coding	0	3	0	22	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	1	0	2	6
AHCY	AHCY	NM_000687.4	protein_coding	0	0	0	47	0	0	0	0	0	0	0	10	0	31	0	0	0	0	0	0	0	0	6
AHCY	AHCY	NM_001161766.2	protein_coding	0	0	0	55	0	0	0	0	0	0	0	10	0	39	0	0	0	0	0	0	0	0	6
AHCY	AHCY	NM_001322084.2	protein_coding	0	2	0	47	0	2	3	0	0	0	0	10	0	28	0	0	0	0	0	0	0	0	6
AHCY	AHCY	NM_001322085.2	protein_coding	0	1	0	47	0	1	2	0	0	0	0	10	0	29	0	0	0	0	0	0	0	0	6
AHCY	AHCY	NM_001322086.2	protein_coding	0	2	0	47	0	2	3	0	0	0	0	10	0	28	0	0	0	0	0	0	0	0	6
AHCY	AHCY	NM_001362750.2	protein_coding	0	0	0	47	0	0	0	0	0	0	0	10	0	31	0	0	0	0	0	0	0	0	6
AHCY	AHCY	XM_011528659.2	protein_coding	0	0	0	56	0	0	0	0	0	0	0	10	0	39	0	0	0	0	0	0	0	0	7
AHCY	AHCY	XM_017027709.3	protein_coding	0	0	0	58	10	0	0	0	0	0	0	3	0	39	0	0	0	0	0	0	0	0	6
AHCY	AHCY	XM_047439962.1	protein_coding	0	0	0	69	0	0	0	0	0	0	0	4	0	59	0	0	0	0	0	0	0	0	6
ANGPT4	ANGPT4	NM_001322809.2	protein_coding	0	0	0	105	4	0	0	0	0	0	0	21	0	63	0	0	0	0	0	0	0	0	17
ANGPT4	ANGPT4	NM_015985.4	protein_coding	0	1	0	104	4	0	0	0	0	0	0	21	0	62	0	0	0	0	0	0	0	1	17
ANGPT4	ANGPT4	XM_011529239.4	protein_coding	0	1	0	104	4	0	0	0	0	0	0	21	0	62	0	0	0	0	0	0	0	1	17
ANKEF1	ANKEF1	NM_001303472.2	protein_coding	0	2	1	62	5	1	3	0	0	0	0	10	0	19	1	0	0	0	0	0	0	1	25
ANKEF1	ANKEF1	NM_022096.6	protein_coding	0	3	1	61	5	1	2	0	0	0	0	10	0	19	1	0	0	0	0	0	0	2	25
ANKEF1	ANKEF1	NM_198798.3	protein_coding	0	3	1	61	5	1	2	0	0	0	0	10	0	19	1	0	0	0	0	0	0	2	25
ANKEF1	ANKEF1	XM_047440366.1	protein_coding	0	2	1	62	5	1	4	0	0	0	0	10	0	18	1	0	0	0	0	0	0	1	25
ANKEF1	ANKEF1	XM_047440367.1	protein_coding	0	2	1	62	5	1	4	0	0	0	0	10	0	18	1	0	0	0	0	0	0	1	25
ANKRD20A21P	ANKRD20A21P	XR_002958558.2		1	1	0	345	0	0	0	0	0	0	0	15	0	308	0	10	0	1	0	1	0	0	14
ANKRD60	ANKRD60	NM_001304369.2	protein_coding	0	1	2	28	4	0	0	0	0	0	0	11	0	12	2	0	0	0	0	0	0	1	1
ANKRD60	ANKRD60	XM_047439902.1	protein_coding	0	0	0	21	1	0	0	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	1
ANKRD60	ANKRD60	XM_047439903.1	protein_coding	1	0	0	23	2	0	0	0	0	0	0	12	0	8	0	0	0	0	0	0	1	0	1
AP5S1	AP5S1	NM_001204446.2	protein_coding	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AP5S1	AP5S1	NM_001204447.2	protein_coding	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AP5S1	AP5S1	NM_018347.3	protein_coding	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
APCDD1L	APCDD1L	NM_001304787.2	protein_coding	0	0	0	63	3	0	1	0	0	0	0	7	0	36	0	0	0	0	0	0	0	0	16
APCDD1L	APCDD1L	NM_153360.3	protein_coding	0	0	0	63	3	0	1	0	0	0	0	7	0	36	0	0	0	0	0	0	0	0	16
APCDD1L	APCDD1L	NR_130908.2		0	0	0	38	0	0	0	0	0	0	0	7	0	14	0	1	0	0	0	0	0	0	16
APCDD1L-DT	APCDD1L-DT	NR_034147.1		0	0	0	222	0	0	0	0	0	0	0	6	0	210	0	4	0	0	0	0	0	0	2
APMAP	APMAP	NM_020531.3	protein_coding	0	0	1	45	0	0	0	0	0	0	0	13	0	29	1	0	0	0	0	0	0	0	3
APMAP	APMAP	XM_005260763.4	protein_coding	0	0	1	45	0	0	0	0	0	0	0	13	0	29	1	0	0	0	0	0	0	0	3
ARFGAP1	ARFGAP1	NM_001281482.2	protein_coding	0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	NM_001281483.2	protein_coding	0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	NM_001281484.2	protein_coding	0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	NM_018209.4	protein_coding	0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	NM_175609.3	protein_coding	0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	NR_104022.2		0	0	0	16	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	5
ARFGAP1	ARFGAP1	NR_104023.2		0	0	0	16	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	5
ARFGAP1	ARFGAP1	XM_006723823.3	protein_coding	0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	XM_011528901.2	protein_coding	0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	XM_017027950.2	protein_coding	0	0	0	25	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	6
ARFGAP1	ARFGAP1	XM_047440287.1	protein_coding	0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	XM_047440288.1	protein_coding	0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	XM_047440289.1	protein_coding	0	0	0	22	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	XM_047440290.1	protein_coding	0	0	0	22	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	XM_047440291.1	protein_coding	0	0	0	22	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	XR_001754329.2		0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	XR_007067465.1		0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGAP1	ARFGAP1	XR_007067466.1		0	0	0	25	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	6
ARFGAP1	ARFGAP1	XR_007067467.1		0	0	0	28	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	9
ARFGEF2	ARFGEF2	NM_006420.3	protein_coding	0	0	1	191	0	0	0	0	0	0	0	5	0	172	1	0	0	0	0	0	0	0	14
ARFGEF2	ARFGEF2	XM_005260252.4	protein_coding	0	0	1	191	0	0	0	0	0	0	0	5	0	172	1	0	0	0	0	0	0	0	14
ARFGEF2	ARFGEF2	XM_047439832.1	protein_coding	0	0	0	192	0	0	0	0	0	0	0	5	0	173	0	0	0	0	0	0	0	0	14
ARFRP1	ARFRP1	NM_001134758.4	protein_coding	0	1	0	43	4	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	1	15
ARFRP1	ARFRP1	NM_001267544.3	protein_coding	0	0	0	44	5	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	0	15
ARFRP1	ARFRP1	NM_001267545.3	protein_coding	0	0	0	44	5	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	0	15
ARFRP1	ARFRP1	NM_001267546.3	protein_coding	0	1	0	43	4	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	1	15
ARFRP1	ARFRP1	NM_001267547.3	protein_coding	0	1	0	43	4	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	1	15
ARFRP1	ARFRP1	NM_001267548.3	protein_coding	0	1	0	43	4	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	1	15
ARFRP1	ARFRP1	NM_001267549.3	protein_coding	0	1	0	43	4	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	1	15
ARFRP1	ARFRP1	NM_003224.6	protein_coding	0	1	0	43	4	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	1	15
ARFRP1	ARFRP1	NR_051954.3		0	0	0	44	0	0	0	0	0	0	0	10	0	14	0	5	0	0	0	0	0	0	15
ARFRP1	ARFRP1	NR_051955.3		0	0	0	44	0	0	0	0	0	0	0	10	0	14	0	5	0	0	0	0	0	0	15
ARFRP1	ARFRP1	NR_051956.3		0	0	0	44	0	0	0	0	0	0	0	10	0	14	0	5	0	0	0	0	0	0	15
ARFRP1	ARFRP1	NR_051957.3		0	0	0	44	0	0	0	0	0	0	0	10	0	14	0	5	0	0	0	0	0	0	15
ARFRP1	ARFRP1	NR_051958.3		0	0	0	44	0	0	0	0	0	0	0	10	0	14	0	5	0	0	0	0	0	0	15
ARFRP1	ARFRP1	XM_011528482.4	protein_coding	0	1	0	43	4	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	1	15
ARFRP1	ARFRP1	XM_011528483.2	protein_coding	0	1	0	43	4	0	1	0	0	0	0	10	0	13	0	0	0	0	0	0	0	1	15
ARFRP1	ARFRP1	XM_047439821.1	protein_coding	0	1	0	42	4	0	0	0	0	0	0	10	0	13	0	0	0	0	0	0	0	1	15
ARFRP1	ARFRP1	XM_047439822.1	protein_coding	0	0	0	43	1	0	0	0	0	0	0	13	0	14	0	0	0	0	0	0	0	0	15
ARFRP1	ARFRP1	XM_047439823.1	protein_coding	0	0	0	43	1	0	1	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	15
ARHGAP40	ARHGAP40	NM_001164431.2	protein_coding	0	1	0	160	6	0	1	0	0	0	0	19	0	97	0	0	0	0	0	0	0	1	37
ASIP	ASIP	NM_001385218.1	protein_coding	0	0	0	38	0	0	0	0	0	0	0	10	0	28	0	0	0	0	0	0	0	0	0
ASIP	ASIP	NM_001672.3	protein_coding	0	0	0	12	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0
ASIP	ASIP	XM_011528820.2	protein_coding	0	0	0	36	0	0	0	0	0	0	0	10	0	26	0	0	0	0	0	0	0	0	0
ASIP	ASIP	XM_011528821.1	protein_coding	0	0	0	38	0	0	0	0	0	0	0	10	0	28	0	0	0	0	0	0	0	0	0
ASXL1	ASXL1	NM_001164603.1	protein_coding	0	0	0	21	0	0	0	0	0	0	0	10	0	9	0	0	0	0	0	0	0	0	2
ASXL1	ASXL1	NM_001363734.1	protein_coding	0	0	0	81	1	0	0	0	0	0	0	5	0	74	0	0	0	0	0	0	0	0	1
ASXL1	ASXL1	NM_015338.6	protein_coding	0	0	0	82	1	0	0	0	0	0	0	5	0	74	0	0	0	0	0	0	0	0	2
ASXL1	ASXL1	XM_006723727.4	protein_coding	0	0	0	82	1	0	0	0	0	0	0	5	0	74	0	0	0	0	0	0	0	0	2
ASXL1	ASXL1	XM_006723728.4	protein_coding	0	0	0	81	1	0	0	0	0	0	0	5	0	74	0	0	0	0	0	0	0	0	1
ASXL1	ASXL1	XM_006723730.5	protein_coding	0	0	0	81	1	0	0	0	0	0	0	5	0	74	0	0	0	0	0	0	0	0	1
ASXL1	ASXL1	XM_006723733.2	protein_coding	0	0	0	10	1	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	1
ASXL1	ASXL1	XM_011528648.4	protein_coding	0	0	0	81	1	0	0	0	0	0	0	5	0	74	0	0	0	0	0	0	0	0	1
ASXL1	ASXL1	XM_047439939.1	protein_coding	0	0	0	81	1	0	0	0	0	0	0	5	0	74	0	0	0	0	0	0	0	0	1
ASXL1	ASXL1	XM_047439940.1	protein_coding	0	0	0	81	1	0	0	0	0	0	0	5	0	74	0	0	0	0	0	0	0	0	1
